timestamp,violation_type
2025-03-29 06:42:17,no_mask
2025-03-29 06:42:19,no_mask
2025-03-29 06:42:26,no_mask
2025-03-29 06:42:28,no_mask
2025-03-29 06:42:30,no_mask
2025-03-29 06:42:31,no_mask
2025-03-29 06:42:34,no_mask
2025-03-29 06:42:36,no_mask
2025-03-29 06:42:39,no_mask
2025-03-29 06:42:41,no_mask
